产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
闲来贵州麻将,,,其他,网游,棋牌
闲来陕西麻将,,,其他,网游,棋牌
腾讯天天军棋,,,腾讯,网游,棋牌
熊出没之熊大农场,,,其他,单机弱联网,模拟经营
炫舞浪漫爱,,,其他,网游,音乐舞蹈
魔法门之英雄无敌:战争纪元,,,腾讯,网游,卡牌RPG
腾讯围棋,,,腾讯,网游,棋牌
泡泡精灵传奇,,,其他,单机弱联网,消除
白块儿达人,,,其他,单机弱联网,休闲益智
轩辕传奇,,,腾讯,网游,MMO
奔跑吧兄弟5-跑男小镇,,,其他,单机弱联网,跑酷躲避
生死狙击,,,其他,网游,枪战射击
怪兽消消消,,,其他,单机弱联网,消除
模拟城市:我是市长,,,其他,网游,模拟经营
寻仙手游,,,腾讯,网游,MMO
蛇蛇争霸,,,其他,网游,休闲益智
围城大作战,,,其他,网游,休闲益智
竖屏斗地主,,,其他,网游,棋牌
我的熊大熊二,,,其他,单机弱联网,模拟经营
跳舞的线,,,其他,单机弱联网,音乐舞蹈
我的汉克狗,,,其他,单机弱联网,休闲益智
最逵蜗凡,,,其他,单机弱联网,休闲益智
手狼狼人杀,,,其他,网游,棋牌
桂林字牌,,,其他,网游,棋牌
天黑狼人杀,,,其他,网游,棋牌
皮皮跑胡子,,,其他,网游,棋牌
时空召唤,,,其他,网游,MOBA
大唐麻将,,,其他,网游,棋牌
微乐贵阳捉鸡,,,其他,网游,棋牌
熊猫四川麻将,,,其他,网游,棋牌
阿瓦隆之王,,,其他,网游,战争策略
丛林大作战,,,巨人,网游,休闲益智
热血江湖,,,其他,网游,MMO
翻滚球球,,,其他,网游,休闲益智
一起来飞车,,,其他,网游,赛车竞速
弓箭手大作战,,,其他,网游,休闲益智
弹弹堂,,,腾讯,网游,休闲益智
开心斗,,,其他,网游,棋牌
光明大陆,,,网易,网游,MMO
天天狼人杀,,,其他,网游,棋牌
仙境传说RO,,,其他,网游,MMO
狼人杀,,,其他,网游,棋牌
狼人杀,,,其他,网游,棋牌
你画我猜,,,其他,网游,休闲益智
大唐无双,,,网易,网游,MMO
英魂之刃,,,其他,网游,MOBA
HIT:我守护的一切,,,其他,网游,ARPG
命运-冠位指定,,,其他,网游,卡牌RPG
微乐辽宁棋牌,,,其他,网游,棋牌
街头篮球,,,腾讯,网游,体育竞技
捕鱼来了,,,腾讯,网游,休闲益智
街篮,,,巨人,网游,体育竞技
镇魔曲,,,网易,网游,MMO
梦幻诛仙,,,腾讯,网游,回合
疯狂贪吃蛇,,,腾讯,网游,休闲益智
影之刃2,,,英雄互娱,网游,ARPG
鳄鱼小顽皮爱洗澡,,,其他,单机弱联网,休闲益智
坦克之战,,,乐逗,网游,枪战射击
永不言弃,,,其他,单机弱联网,休闲益智
炫舞时代,,,其他,网游,音乐舞蹈
炫舞时代,,,其他,网游,音乐舞蹈
完美钢琴,,,其他,单机弱联网,音乐舞蹈
天天炫舞,,,其他,网游,音乐舞蹈
随身乐队,,,其他,单机弱联网,音乐舞蹈
全民炫舞,,,腾讯,网游,音乐舞蹈
全民偶像,,,腾讯,网游,音乐舞蹈
魔法钢琴,,,博雅,单机弱联网,音乐舞蹈
迷你节奏,,,其他,单机弱联网,音乐舞蹈
恋舞OL,,,其他,网游,音乐舞蹈
乐动舞指,,,其他,单机弱联网,音乐舞蹈
乐动时代,,,其他,单机弱联网,音乐舞蹈
极品钢琴,,,其他,单机弱联网,音乐舞蹈
疯狂猜歌,,,其他,单机弱联网,音乐舞蹈
爱上钢琴,,,其他,单机弱联网,音乐舞蹈
LoveLive 学园偶像祭,,,其他,单机弱联网,音乐舞蹈
罪案现场,,,其他,单机弱联网,休闲益智
最强大脑2,,,其他,单机弱联网,休闲益智
追光者,,,腾讯,单机弱联网,休闲益智
抓娃娃,,,其他,单机弱联网,休闲益智
中国好学霸,,,其他,单机弱联网,休闲益智
Plant Nanny,,,其他,单机弱联网,休闲益智
整人专家,,,其他,单机弱联网,休闲益智
找你妹2015,,,其他,单机弱联网,休闲益智
找你妹2,,,其他,单机弱联网,休闲益智
找你妹,,,其他,单机弱联网,休闲益智
越狱兔150春天版,,,其他,单机弱联网,休闲益智
越狱,,,其他,单机弱联网,休闲益智
原版2048,,,其他,单机弱联网,休闲益智
又一个案子解决了,,,其他,单机弱联网,休闲益智
英雄难过棍子关,,,其他,单机弱联网,休闲益智
一起玩陶艺,,,其他,单机弱联网,休闲益智
一起来挂机,,,其他,单机弱联网,休闲益智
一笔画,,,其他,单机弱联网,休闲益智
药水制作师,,,其他,单机弱联网,休闲益智
炫彩方块1010!,,,其他,单机弱联网,休闲益智
星座游戏大全,,,其他,单机弱联网,休闲益智
新2048,,,其他,单机弱联网,休闲益智
小3传奇,,,其他,单机弱联网,休闲益智
Flappy Bird,,,其他,单机弱联网,休闲益智
我的汤姆猫,,,其他,单机弱联网,休闲益智
我的宠物Pou,,,其他,单机弱联网,休闲益智
我的安吉拉,,,其他,单机弱联网,休闲益智
微观世界大冒险,,,其他,单机弱联网,休闲益智
同一个世界,,,其他,单机弱联网,休闲益智
停车大师3D2,,,其他,单机弱联网,休闲益智
跳跃忍者110,,,其他,单机弱联网,休闲益智
挑战2048,,,其他,单机弱联网,休闲益智
天天街机捕鱼,,,其他,单机弱联网,休闲益智
天天捕鱼赢话费,,,其他,单机弱联网,休闲益智
汤姆猫爱安吉拉,,,其他,单机弱联网,休闲益智
水果忍者炫酷版,,,乐逗,单机弱联网,休闲益智
水果忍者免费版,,,乐逗,单机弱联网,休闲益智
水果连连看,,,其他,单机弱联网,消除
水果连连看,,,其他,单机弱联网,消除
数字123-宝宝巴士,,,其他,单机弱联网,休闲益智
数独世界,,,其他,单机弱联网,休闲益智
数独,,,其他,单机弱联网,休闲益智
史上最虐心的火柴人,,,其他,单机弱联网,休闲益智
史上最牛的游戏3,,,其他,单机弱联网,休闲益智
史上最牛的游戏2,,,其他,单机弱联网,休闲益智
史上最难强迫症游戏,,,其他,单机弱联网,休闲益智
史上最坑爹的游戏,,,其他,单机弱联网,休闲益智
失落之城,,,其他,单机弱联网,休闲益智
神偷鲍勃,,,其他,单机弱联网,休闲益智
山羊大碰撞,,,其他,单机弱联网,休闲益智
三重镇,,,乐逗,单机弱联网,消除
水果忍者萝莉版,,,其他,单机弱联网,休闲益智
全民切水果,,,腾讯,网游,休闲益智
全民砰砰砰,,,腾讯,网游,休闲益智
全民钓鱼,,,其他,单机弱联网,休闲益智
晴天小狗,,,其他,单机弱联网,模拟经营
切水果2-完美版,,,其他,单机弱联网,休闲益智
切！水果达人,,,其他,单机弱联网,休闲益智
千炮捕鱼大赛,,,其他,单机弱联网,休闲益智
千炮捕鱼,,,其他,单机弱联网,休闲益智
Block Puzzle Mania,,,其他,单机弱联网,休闲益智
泡泡女巫2,,,其他,单机弱联网,休闲益智
你画我猜 中文版,,,其他,单机弱联网,休闲益智
脑力达人,,,腾讯,网游,休闲益智
单机急转弯游戏,,,其他,单机弱联网,休闲益智
陌陌捕鱼,,,其他,网游,休闲益智
密室逃亡,,,其他,单机弱联网,休闲益智
萌龙大乱斗,,,其他,单机弱联网,模拟经营
么么答,,,其他,单机弱联网,休闲益智
猫咪后院汉化版,,,其他,单机弱联网,休闲益智
老虎转转转,,,其他,单机弱联网,休闲益智
快乐家,,,其他,单机弱联网,休闲益智
快乐捕鱼,,,其他,单机弱联网,休闲益智
酷炫方块,,,其他,单机弱联网,休闲益智
恐怖之眼,,,其他,单机弱联网,休闲益智
看图猜成语,,,其他,单机弱联网,休闲益智
开心水族箱,,,乐元素,单机弱联网,模拟经营
开心萌宠,,,其他,单机弱联网,休闲益智
开心捕鱼,,,其他,单机弱联网,休闲益智
聚会玩,,,其他,单机弱联网,休闲益智
精灵宝可梦 GO,,,其他,单机弱联网,休闲益智
解除封锁,,,其他,单机弱联网,休闲益智
街机千炮捕鱼,,,其他,单机弱联网,休闲益智
见缝插针,,,其他,单机弱联网,休闲益智
见缝插针,,,其他,单机弱联网,休闲益智
见缝插针,,,其他,单机弱联网,休闲益智
几何冲刺,,,其他,单机弱联网,休闲益智
饥荒：口袋版,,,其他,单机,ARPG
饥饿鲨进化,,,其他,单机弱联网,休闲益智
会说话的鹦鹉,,,其他,单机弱联网,休闲益智
会说话的汤姆猫2,,,其他,单机弱联网,休闲益智
会说话的汤姆猫,,,其他,单机弱联网,休闲益智
会说话的圣诞老人,,,其他,单机弱联网,休闲益智
会说话的猫3,,,其他,单机弱联网,休闲益智
会说话的金杰猫2,,,其他,单机弱联网,休闲益智
会说话的金杰猫,,,其他,单机弱联网,休闲益智
会说话的狗狗本,,,其他,单机弱联网,休闲益智
会说话的安吉拉,,,其他,单机弱联网,休闲益智
滑雪大冒险中国风,,,其他,单机弱联网,休闲益智
红蓝大作战2,,,其他,单机弱联网,休闲益智
合到10,,,其他,单机弱联网,休闲益智
果冻跳跃,,,其他,单机弱联网,休闲益智
鬼魂扫描器,,,其他,单机弱联网,休闲益智
光学解锁,,,其他,单机弱联网,休闲益智
跟着白线,,,其他,单机弱联网,休闲益智
割绳子玩穿越,,,其他,单机弱联网,休闲益智
割绳子2,,,其他,单机弱联网,休闲益智
割绳子：魔法,,,其他,单机弱联网,休闲益智
疯狂填字,,,其他,单机弱联网,休闲益智
疯狂来往,,,其他,单机弱联网,休闲益智
疯狂俄罗斯方块,,,其他,单机弱联网,消除
疯狂动物园,,,其他,单机弱联网,跑酷躲避
疯狂的麦咭,,,其他,单机弱联网,休闲益智
疯狂猜图,,,其他,单机弱联网,休闲益智
疯狂猜电视剧,,,其他,单机弱联网,休闲益智
疯狂猜成语2,,,其他,单机弱联网,休闲益智
疯狂猜成语,,,其他,单机弱联网,休闲益智
愤怒的小鸟嘉年华版,,,其他,单机弱联网,休闲益智
愤怒的小鸟2,,,其他,单机弱联网,休闲益智
愤怒的小鸟（中文版）,,,其他,单机弱联网,休闲益智
二十,,,其他,单机弱联网,休闲益智
儿童拖拖乐游戏,,,其他,单机弱联网,休闲益智
儿童拼图,,,其他,单机弱联网,休闲益智
儿童模式,,,其他,单机弱联网,休闲益智
儿童教育游戏,,,其他,单机弱联网,休闲益智
鳄鱼小顽皮爱洗澡2,,,触控,单机弱联网,休闲益智
鳄鱼小顽皮爱洗澡,,,触控,单机弱联网,休闲益智
俄罗斯方块_休闲对战单机版,,,其他,单机弱联网,消除
俄罗斯方块,,,其他,单机弱联网,消除
多牛百变方块,,,其他,单机弱联网,消除
钓鱼看漂,,,其他,单机弱联网,休闲益智
钓鱼发烧友,,,其他,单机弱联网,休闲益智
钓鱼大师,,,其他,单机弱联网,休闲益智
电玩捕鱼2,,,其他,单机弱联网,休闲益智
点我+1,,,掌游天下,单机弱联网,休闲益智
点脑子,,,其他,单机弱联网,休闲益智
地狱边境,,,其他,单机弱联网,休闲益智
捣蛋猪,,,其他,单机弱联网,休闲益智
单机忍者切水果,,,其他,单机弱联网,休闲益智
答题王,,,其他,单机弱联网,休闲益智
蠢蠢的死法,,,其他,单机弱联网,休闲益智
超级玛丽2,,,其他,单机弱联网,休闲益智
超级玛丽怀旧经典,,,其他,单机弱联网,跑酷躲避
超级玛丽,,,其他,单机弱联网,跑酷躲避
超级玛丽,,,其他,单机弱联网,跑酷躲避
厕所大冒险,,,其他,单机弱联网,休闲益智
Hamster Life,,,其他,单机弱联网,休闲益智
捕鱼之海底捞,,,其他,单机弱联网,休闲益智
捕鱼达人土豪金,,,触控,单机弱联网,休闲益智
波克捕鱼,,,波克,单机弱联网,休闲益智
捕鱼达人3,,,触控,单机弱联网,休闲益智
捕鱼达人2经典,,,触控,单机弱联网,休闲益智
捕鱼达人2,,,触控,单机弱联网,休闲益智
捕鱼达人,,,触控,单机弱联网,休闲益智
冰川时代大冒险,,,其他,单机弱联网,休闲益智
笨拙的忍者,,,其他,单机弱联网,休闲益智
宝宝学数字加法,,,其他,单机弱联网,休闲益智
阿达脑训练,,,其他,单机弱联网,休闲益智
momi涂色-秘密花园,,,其他,单机弱联网,休闲益智
LINE 旅咣大亨,,,其他,单机弱联网,休闲益智
Doodle Jump Plus,,,乐逗,单机弱联网,休闲益智
BB弹,,,掌游天下,单机弱联网,消除
3M捕鱼(周末版),,,其他,单机弱联网,休闲益智
3D模拟火车,,,其他,单机弱联网,休闲益智
1010!,,,其他,单机弱联网,休闲益智
钻石之星,,,其他,单机弱联网,消除
钻石矿工传奇,,,其他,单机弱联网,消除
石头传奇,,,其他,单机弱联网,消除
猪猪侠之百变联盟,,,其他,单机弱联网,消除
猪猪侠爱消除,,,其他,单机弱联网,消除
熊猫泡泡,,,其他,单机弱联网,消除
星星大爆破,,,其他,单机弱联网,消除
小鸟爆破,,,乐逗,单机弱联网,消除
小米泡泡传奇,,,其他,单机弱联网,消除
消消乐,,,其他,单机弱联网,消除
消消宠腾讯版,,,其他,单机弱联网,消除
消灭星星中文版,,,其他,单机弱联网,消除
消灭星星炫彩版,,,其他,单机弱联网,消除
消灭星星无限版,,,其他,单机弱联网,消除
消灭星星精美版,,,其他,单机弱联网,消除
消灭星星的你,,,其他,单机弱联网,消除
消灭星星传奇,,,其他,单机弱联网,消除
消灭星星2015,,,其他,单机弱联网,消除
消灭星星5高清版,,,其他,单机弱联网,消除
消灭星星4（真人PK版）,,,掌游天下,单机弱联网,消除
消灭星星3（最新版）,,,其他,单机弱联网,消除
消灭星星3糖果宝贝,,,其他,单机弱联网,消除
消灭星星3疯狂版,,,其他,单机弱联网,消除
消灭星星3代官方正版,,,其他,单机弱联网,消除
消灭星星3D版,,,其他,单机弱联网,消除
消灭星星3,,,其他,单机弱联网,消除
消灭星星2炫彩版,,,其他,单机弱联网,消除
消灭星星3（最新版）,,,其他,单机弱联网,消除
消灭星星2017,,,其他,单机弱联网,消除
消灭星星2015,,,其他,单机弱联网,消除
消灭星星2015,,,其他,单机弱联网,消除
消灭星星2015,,,其他,单机弱联网,消除
经典消星星,,,其他,单机弱联网,消除
消灭星星,,,其他,单机弱联网,消除
消灭水果星星,,,其他,单机弱联网,消除
消灭星星2,,,掌游天下,单机弱联网,消除
消灭星星☆2015抢先版,,,其他,单机弱联网,消除
消灭星星（开心版）,,,其他,单机弱联网,消除
消灭星星,,,掌游天下,单机弱联网,消除
消灭星星,,,其他,单机弱联网,消除
消灭糖果,,,其他,单机弱联网,消除
消灭糖果,,,其他,单机弱联网,消除
消灭水果,,,其他,单机弱联网,消除
消灭宝石-星星消消乐,,,其他,单机弱联网,消除
五子连珠,,,其他,单机弱联网,棋牌
甜心爱消除,,,其他,单机弱联网,消除
天天星连萌,,,腾讯,网游,消除
天天消星星,,,其他,单机弱联网,消除
天天消星星,,,其他,单机弱联网,消除
天天消糖果,,,其他,单机弱联网,消除
天天消宝石,,,其他,单机弱联网,消除
糖果消消,,,其他,单机弱联网,消除
宝石连线,,,其他,单机弱联网,消除
糖果粉碎苏打传奇,,,其他,网游,消除
糖果粉碎传奇,,,其他,网游,消除
糖果大爆炸,,,其他,单机弱联网,消除
糖果传奇,,,腾讯,网游,消除
糖粉碎:生命之书,,,其他,单机弱联网,消除
汤姆猫泡泡射手,,,其他,单机弱联网,消除
水果泡泡龙,,,其他,单机弱联网,消除
水果连连看3,,,其他,单机弱联网,消除
水果连连看,,,其他,单机弱联网,消除
水果爱闪电,,,其他,单机弱联网,消除
神魔之塔,,,腾讯,网游,卡牌RPG
全民泡泡大战,,,腾讯,网游,消除
全民大消除,,,其他,单机弱联网,消除
全民爱消除,,,其他,单机弱联网,消除
切水果消消乐,,,其他,单机弱联网,消除
七彩祖玛2,,,其他,单机弱联网,消除
七彩祖玛,,,其他,单机弱联网,消除
泡泡龙亚特兰蒂斯2,,,其他,单机弱联网,消除
泡泡龙亚特兰蒂斯,,,其他,单机弱联网,消除
泡泡龙青春版,,,其他,单机弱联网,消除
泡泡龙官方正版,,,其他,单机弱联网,消除
泡泡龙II,,,其他,单机弱联网,消除
泡泡龙3,,,其他,单机弱联网,消除
泡泡龙（喵星人来袭）,,,其他,单机弱联网,消除
啪啪泡泡龙,,,其他,单机弱联网,消除
农场英雄传奇,,,其他,单机弱联网,消除
农场消消乐,,,其他,网游,消除
陌陌熊熊消,,,其他,单机弱联网,消除
魔方爱消消,,,其他,单机弱联网,消除
魔法消消看,,,其他,单机弱联网,消除
连连看经典版,,,其他,单机弱联网,消除
连连看高清过关单机游戏,,,其他,单机弱联网,消除
来杯果汁,,,其他,单机弱联网,消除
狂热的花园2,,,其他,单机弱联网,消除
快乐点点消,,,乐逗,单机弱联网,消除
开心消消消,,,其他,单机弱联网,消除
开心消消乐迷你版,,,乐元素,单机弱联网,消除
开心糖果消消乐,,,其他,单机弱联网,消除
开心泡泡鼠,,,其他,单机弱联网,消除
开心泡泡猫,,,乐元素,单机弱联网,消除
开心泡泡龙,,,其他,单机弱联网,消除
极速连连看,,,其他,单机弱联网,消除
花儿消消乐,,,其他,单机弱联网,消除
海底消消,,,其他,单机弱联网,消除
果汁四溅,,,其他,单机弱联网,消除
水果砰砰砰,,,其他,单机弱联网,休闲益智
果蔬连连看,,,其他,单机弱联网,消除
果冻消消乐,,,其他,单机弱联网,消除
果冻奇缘,,,其他,单机弱联网,消除
怪兽克星:六边消除,,,其他,单机弱联网,消除
怪兽克星,,,其他,单机弱联网,消除
符文大师,,,其他,单机弱联网,消除
疯狂消星星,,,其他,单机弱联网,消除
疯狂消水果,,,其他,单机弱联网,消除
单机游戏消除碰碰,,,其他,单机弱联网,消除
单机游戏连连看,,,其他,单机弱联网,消除
单机消星星,,,其他,单机弱联网,消除
大头儿子开心泡泡,,,其他,单机弱联网,消除
丛林祖玛,,,其他,单机弱联网,消除
宠物消消乐,,,其他,单机弱联网,消除
宠物大营救,,,其他,单机弱联网,休闲益智
冲关泡泡龙,,,其他,单机弱联网,消除
彩球连接,,,其他,单机弱联网,消除
冰雪消消乐,,,其他,单机弱联网,消除
冰雪奇缘：冰纷乐,,,触控,单机弱联网,消除
爆走星星,,,其他,单机弱联网,消除
爱消方块,,,其他,单机弱联网,消除
消灭星星经典版,,,掌游天下,单机弱联网,消除
LINE:迪士尼消消看,,,其他,单机弱联网,消除
Jelly Splash,,,其他,单机弱联网,消除
足球经理,,,其他,单机弱联网,模拟经营
在线8球台球,,,其他,单机弱联网,棋牌
霹雳台球,,,乐逗,单机弱联网,棋牌
台球俱乐部,,,其他,单机弱联网,棋牌
台球帝国,,,其他,网游,棋牌
台球大师,,,其他,单机弱联网,棋牌
斯诺克2012,,,其他,单机弱联网,棋牌
实况足球2012,,,其他,单机弱联网,体育竞技
胜利足球,,,其他,网游,体育竞技
梦幻足球联盟,,,其他,单机弱联网,体育竞技
街头篮球 Jam City,,,其他,网游,体育竞技
火柴人足球2014,,,其他,单机弱联网,体育竞技
火柴人篮球,,,其他,单机弱联网,体育竞技
国际足球大联盟12,,,其他,单机弱联网,体育竞技
疯狂桌球,,,其他,单机弱联网,棋牌
第一触感足球2015,,,其他,单机弱联网,体育竞技
博雅台球2,,,博雅,单机弱联网,棋牌
VR网球挑战赛,,,其他,单机弱联网,体育竞技
NBA英雄,,,其他,网游,体育竞技
NBA梦之队,,,其他,网游,体育竞技
NBA2K14,,,其他,单机弱联网,体育竞技
NBA2K13,,,其他,单机弱联网,体育竞技
NBA 2K16,,,其他,单机弱联网,体育竞技
NBA 2K15,,,其他,单机弱联网,体育竞技
FIFA 15：终极队伍,,,其他,单机弱联网,体育竞技
FIFA 14,,,其他,单机弱联网,体育竞技
3D桌球,,,其他,单机弱联网,棋牌
3D Bowling,,,其他,单机弱联网,体育竞技
终极塔防,,,其他,单机弱联网,塔防
植物战僵尸王2,,,其他,单机弱联网,赛车竞速
熊出没之疯狂弹射,,,其他,单机弱联网,休闲益智
熊出没之保卫家园2,,,其他,单机弱联网,塔防
小小指挥官2,,,其他,单机弱联网,塔防
小小指挥官：二战风云,,,其他,单机弱联网,塔防
皇家守卫军:前线,,,其他,单机弱联网,塔防
王国保卫战：起源,,,其他,单机弱联网,塔防
天天来塔防,,,腾讯,网游,塔防
守卫者 II,,,其他,单机弱联网,塔防
燃烧的蔬菜季节版,,,其他,单机弱联网,塔防
燃烧的蔬菜3,,,其他,单机弱联网,塔防
燃烧的蔬菜2,,,其他,单机弱联网,塔防
全民主公,,,腾讯,网游,塔防
狂斩三国2-单机版,,,其他,单机弱联网,塔防
坚守阵地,,,其他,单机弱联网,塔防
横扫万国,,,其他,单机弱联网,塔防
果宝特攻,,,其他,单机弱联网,塔防
帝国塔防2,,,其他,单机弱联网,塔防
城堡争霸,,,腾讯,网游,COC类
城堡突袭2,,,其他,单机弱联网,塔防
暴击僵尸,,,其他,单机弱联网,塔防
主驾驶,,,其他,单机弱联网,赛车竞速
猪猪侠向前冲,,,其他,单机弱联网,跑酷躲避
猪猪侠百变飞车,,,其他,单机弱联网,跑酷躲避
终极狂飙3D漂移,,,其他,单机弱联网,赛车竞速
真实挖掘机驾驶,,,其他,单机弱联网,赛车竞速
真实滑板,,,其他,单机弱联网,跑酷躲避
一个都不能死,,,其他,单机弱联网,休闲益智
熊猫卡丁车,,,其他,单机弱联网,赛车竞速
熊出没之雪岭熊风,,,其他,单机弱联网,跑酷躲避
熊出没2,,,其他,单机弱联网,跑酷躲避
新忍者必须死2,,,网易,单机弱联网,跑酷躲避
喜羊羊快跑,,,其他,单机弱联网,跑酷躲避
涂鸦跳跃,,,其他,单机弱联网,休闲益智
天天跑酷HD,,,其他,网游,跑酷躲避
天天酷跑3D,,,腾讯,网游,跑酷躲避
天天风之旅,,,腾讯,网游,跑酷躲避
死亡战车,,,其他,单机弱联网,赛车竞速
矢量跑酷,,,其他,单机弱联网,跑酷躲避
神庙逃亡2,,,乐逗,单机弱联网,跑酷躲避
赛尔号：雷神崛起酷跑,,,乐逗,单机弱联网,跑酷躲避
忍者突袭,,,其他,单机弱联网,跑酷躲避
全民漂移,,,其他,单机弱联网,赛车竞速
跑跑卡丁车,,,其他,单机弱联网,赛车竞速
跑酷老奶奶,,,其他,单机弱联网,跑酷躲避
摩托竞技,,,其他,单机弱联网,赛车竞速
模拟极限飞行,,,其他,单机弱联网,休闲益智
模拟巴士2015,,,其他,单机弱联网,赛车竞速
猫和老鼠官方手游,,,网易,单机弱联网,跑酷躲避
老爸曾是小偷,,,其他,单机弱联网,跑酷躲避
矿车大逃亡,,,其他,单机弱联网,跑酷躲避
狂野飙车8：极速凌云,,,其他,单机弱联网,赛车竞速
狂野飙车：氮气加速,,,其他,单机弱联网,赛车竞速
快乐酷宝,,,其他,单机弱联网,跑酷躲避
口袋拉力赛,,,其他,单机弱联网,跑酷躲避
铠甲勇士之英雄传说,,,其他,单机弱联网,跑酷躲避
竞技摩托,,,其他,单机弱联网,赛车竞速
僵尸尖叫,,,掌游天下,单机弱联网,跑酷躲避
Extreme Car Driving Simulator,,,其他,单机弱联网,赛车竞速
极速摩托,,,其他,单机弱联网,赛车竞速
极品狂飙3D,,,其他,单机弱联网,跑酷躲避
极品飞车最高通缉,,,其他,单机弱联网,赛车竞速
极品飞车17：最高通缉,,,其他,单机弱联网,赛车竞速
激流快艇2,,,其他,单机弱联网,赛车竞速
激流快艇,,,其他,单机弱联网,跑酷躲避
滑雪大冒险,,,其他,单机弱联网,跑酷躲避
滑板少年,,,其他,单机弱联网,跑酷躲避
海绵宝宝大冒险,,,其他,单机弱联网,赛车竞速
疯狂喷气机,,,乐逗,单机弱联网,休闲益智
疯狂出租车：都市狂飙,,,其他,单机弱联网,赛车竞速
愤怒的老奶奶跑酷,,,其他,单机弱联网,跑酷躲避
登山赛车之天朝历险,,,其他,单机弱联网,赛车竞速
登山赛车,,,其他,单机弱联网,赛车竞速
大头儿子大冒险,,,其他,单机弱联网,跑酷躲避
城市飞车,,,其他,单机弱联网,赛车竞速
超音速飞行,,,其他,单机弱联网,跑酷躲避
超级玛丽酷跑,,,其他,单机弱联网,跑酷躲避
超级飞侠,,,其他,单机弱联网,跑酷躲避
草莓公主甜心跑酷,,,其他,单机弱联网,跑酷躲避
奔跑吧兄弟4-撕名牌大战,,,其他,单机弱联网,跑酷躲避
奔跑吧兄弟:我是车神,,,触控,单机弱联网,赛车竞速
奔跑吧兄弟 跑男来了,,,乐逗,单机弱联网,跑酷躲避
暴力摩托2,,,其他,单机弱联网,赛车竞速
暴力摩托,,,其他,单机弱联网,赛车竞速
爸爸去哪儿2,,,其他,单机弱联网,跑酷躲避
爸爸去哪儿,,,其他,单机弱联网,跑酷躲避
奥特曼-酷跑超人2,,,其他,单机弱联网,跑酷躲避
Traffic Racer,,,其他,单机弱联网,赛车竞速
Temple Run:魔境仙踪,,,触控,单机弱联网,跑酷躲避
SpeedCar,,,其他,单机弱联网,赛车竞速
Speed Moto,,,其他,单机弱联网,赛车竞速
真实赛车3,,,其他,单机弱联网,赛车竞速
NinJump Deluxe,,,其他,单机弱联网,跑酷躲避
Asphalt5,,,乐逗,单机弱联网,跑酷躲避
4D极速沙滩赛车,,,其他,单机弱联网,赛车竞速
小奥终极狂飙4,,,其他,单机弱联网,赛车竞速
3D终极狂飙3,,,其他,单机弱联网,赛车竞速
3D终极车神2,,,其他,单机弱联网,赛车竞速
3D终极车神,,,其他,单机弱联网,赛车竞速
3D真实驾驶,,,其他,单机弱联网,赛车竞速
3D霹雳飞车,,,其他,单机弱联网,赛车竞速
3D狂野飞车-极速前进,,,其他,单机弱联网,跑酷躲避
3D狂野飞车2-极速前进,,,其他,单机弱联网,赛车竞速
3D狂野飞车,,,其他,单机弱联网,赛车竞速
3D暴力摩托2,,,其他,单机弱联网,赛车竞速
3D暴力摩托,,,其他,单机弱联网,赛车竞速
紫金岛三打哈,,,其他,网游,棋牌
紫金岛跑胡子,,,其他,网游,棋牌
途游中国象棋,,,其他,网游,棋牌
蜘蛛纸牌,,,其他,单机弱联网,棋牌
蜘蛛接龙,,,其他,单机弱联网,棋牌
正宗四川麻将,,,其他,单机弱联网,棋牌
真人麻将,,,其他,单机弱联网,棋牌
真人斗地主2,,,其他,单机弱联网,棋牌
掌心牛牛,,,其他,单机弱联网,棋牌
赢话费斗地主,,,其他,网游,棋牌
博雅宜宾棋牌,,,博雅,单机弱联网,棋牌
一起斗地主,,,其他,单机弱联网,棋牌
星佳德州扑克,,,其他,单机弱联网,棋牌
小米实况麻将,,,其他,单机弱联网,棋牌
小米斗地主,,,其他,网游 ,棋牌
小奥单机斗地主2,,,其他,单机弱联网,棋牌
象棋巫师,,,其他,单机弱联网,棋牌
闲来麻将,,,其他,网游,棋牌
五子棋大师,,,其他,单机弱联网,棋牌
我爱斗地主,,,博雅,单机弱联网,棋牌
围棋练习大全,,,其他,单机弱联网,棋牌
微乐家乡棋牌,,,其他,单机弱联网,棋牌
忘忧围棋,,,其他,单机弱联网,棋牌
玩玩四川麻将,,,博雅,单机弱联网,棋牌
挖坑,,,其他,单机弱联网,棋牌
拖拉机,,,其他,单机弱联网,棋牌
土豪炸翻天,,,其他,单机弱联网,棋牌
途游斗地主,,,其他,网游,棋牌
同城游两副头,,,其他,单机弱联网,棋牌
同城游掼蛋,,,其他,单机弱联网,棋牌
同城游斗地主,,,其他,单机弱联网,棋牌
同城游打大A,,,其他,单机弱联网,棋牌
同城游保皇,,,其他,单机弱联网,棋牌
同城游,,,其他,单机弱联网,棋牌
跳棋精灵,,,其他,单机弱联网,棋牌
天天斗牛,,,其他,网游,棋牌
天天斗地主（真人版）,,,其他,网游,棋牌
天天德州,,,腾讯,网游,棋牌
随便字牌,,,其他,单机弱联网,棋牌
四川麻将,,,其他,单机弱联网,棋牌
同城游双扣,,,其他,单机弱联网,棋牌
锐游三张牌,,,其他,单机弱联网,棋牌
群星斗地主,,,其他,单机弱联网,棋牌
雀王公馆,,,其他,单机弱联网,棋牌
